num_scooters_available,num_scooters_unavailable,is_installed,legacy_id,num_bikes_available,num_ebikes_available,is_renting,eightd_has_available_keys,num_bikes_disabled,num_docks_available,station_id,is_returning,last_reported,station_status,num_docks_disabled,valet,eightd_active_station_services,num_scooter_spots_available,num_bike_spots_available
0.0,0.0,1,491,9,8,1,False,0,6,a3afd7ab-a135-11e9-9cda-0a87ae2ba916,1,1683806878,active,0,,,,
0.0,0.0,1,67,5,2,1,False,3,18,a3a4ac3f-a135-11e9-9cda-0a87ae2ba916,1,1683806878,active,0,,,,
1.0,0.0,1,146,7,2,1,False,1,9,a3a62aad-a135-11e9-9cda-0a87ae2ba916,1,1683806879,active,0,,,,
0.0,0.0,1,227,10,5,1,False,0,13,a3a82c6c-a135-11e9-9cda-0a87ae2ba916,1,1683806879,active,0,,,,
0.0,0.0,1,528,6,2,1,False,0,5,a3b10a40-a135-11e9-9cda-0a87ae2ba916,1,1683806883,active,0,,,,
1.0,0.0,1,327,4,0,1,False,0,14,a3aabad8-a135-11e9-9cda-0a87ae2ba916,1,1683806889,active,0,,,,
0.0,0.0,1,465,13,6,1,False,1,9,a3af52bc-a135-11e9-9cda-0a87ae2ba916,1,1683806890,active,0,,,,
0.0,0.0,1,467,9,6,1,False,0,6,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,1,1683806891,active,0,,,,
0.0,0.0,1,281,7,0,1,False,0,0,a3a9c5f7-a135-11e9-9cda-0a87ae2ba916,1,1683806891,active,0,,,,
0.0,0.0,1,34,8,0,1,False,0,7,a3a41004-a135-11e9-9cda-0a87ae2ba916,1,1683806892,active,0,,,,
0.0,0.0,1,390,8,4,1,False,0,3,a3acdae2-a135-11e9-9cda-0a87ae2ba916,1,1683806887,active,0,,,,
0.0,0.0,1,704,1,1,1,False,0,14,759171ce-f355-4740-948d-e14bb8f7dc0e,1,1683806887,active,0,,,,
0.0,0.0,1,121,10,2,1,False,1,8,a3a5a9d0-a135-11e9-9cda-0a87ae2ba916,1,1683806888,active,0,,,,
2.0,0.0,1,215,1,1,1,False,0,12,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,1,1683806886,active,0,,,,
0.0,0.0,1,479,5,1,1,False,0,10,a3af9a83-a135-11e9-9cda-0a87ae2ba916,1,1683806886,active,0,,,,
1.0,0.0,1,277,1,0,1,False,0,13,a3a9b1d7-a135-11e9-9cda-0a87ae2ba916,1,1683806887,active,0,,,,
0.0,0.0,1,441,5,4,1,False,0,6,a3addda0-a135-11e9-9cda-0a87ae2ba916,1,1683806892,active,0,,,,
0.0,0.0,1,153,12,7,1,False,0,7,a3a6c38e-a135-11e9-9cda-0a87ae2ba916,1,1683806892,active,0,,,,
0.0,0.0,1,421,7,0,1,False,0,4,a3ad7636-a135-11e9-9cda-0a87ae2ba916,1,1683806894,active,0,,,,
0.0,0.0,1,304,8,5,1,False,0,7,a3aa4017-a135-11e9-9cda-0a87ae2ba916,1,1683806894,active,0,,,,
0.0,0.0,1,131,10,1,1,False,0,5,a3a5de24-a135-11e9-9cda-0a87ae2ba916,1,1683806895,active,0,,,,
0.0,0.0,1,427,7,0,1,False,0,8,a3ad95a7-a135-11e9-9cda-0a87ae2ba916,1,1683806896,active,0,,,,
0.0,0.0,1,537,4,0,1,False,1,5,a3b13836-a135-11e9-9cda-0a87ae2ba916,1,1683806897,active,0,,,,
0.0,0.0,1,723,7,5,1,False,0,4,da9e6779-5056-4d45-bae3-9dc325ed2807,1,1683806897,active,0,,,,
1.0,0.0,1,236,3,0,1,False,0,11,a3a854bf-a135-11e9-9cda-0a87ae2ba916,1,1683806897,active,0,,,,
0.0,0.0,1,376,19,5,1,False,1,7,a3aca790-a135-11e9-9cda-0a87ae2ba916,1,1683806781,active,0,,,,
0.0,0.0,1,330,5,1,1,False,0,14,a3aaca0e-a135-11e9-9cda-0a87ae2ba916,1,1683806781,active,0,,,,
0.0,0.0,1,209,7,1,1,False,0,4,a3a7d279-a135-11e9-9cda-0a87ae2ba916,1,1683806781,active,0,,,,
0.0,0.0,1,314,6,0,1,False,0,9,a3aa7373-a135-11e9-9cda-0a87ae2ba916,1,1683806779,active,0,,,,
0.0,0.0,1,456,5,1,1,False,0,6,a3af2216-a135-11e9-9cda-0a87ae2ba916,1,1683806778,active,0,,,,
1.0,0.0,1,27,10,1,1,False,0,8,a3a3eb9a-a135-11e9-9cda-0a87ae2ba916,1,1683806785,active,0,,,,
0.0,0.0,1,600,1,0,1,False,0,14,a3b2f698-a135-11e9-9cda-0a87ae2ba916,1,1683806785,active,0,,,,
0.0,0.0,1,619,6,3,1,False,2,3,a3b35885-a135-11e9-9cda-0a87ae2ba916,1,1683806789,active,0,,,,
0.0,0.0,1,725,2,0,1,False,0,13,22afe78c-e8f7-4a80-969e-7ddeafdf49da,1,1683806791,active,0,,,,
0.0,0.0,1,706,12,0,1,False,0,3,625e37ea-24ea-4f13-9a54-6322466ec521,1,1683806794,active,0,,,,
,,1,560,0,0,1,False,0,11,a3b22815-a135-11e9-9cda-0a87ae2ba916,1,1683806794,active,0,,,,
0.0,0.0,1,35,2,1,1,False,0,33,a3a41526-a135-11e9-9cda-0a87ae2ba916,1,1683806794,active,5,,,,
0.0,0.0,1,674,6,2,1,False,0,1,61695579-2f75-4090-a071-c76079b5fb5d,1,1683806795,active,0,,,,
0.0,0.0,1,116,9,6,1,False,0,6,a3a58ee0-a135-11e9-9cda-0a87ae2ba916,1,1683806795,active,0,,,,
0.0,0.0,1,143,13,4,1,False,0,2,a3a61a0b-a135-11e9-9cda-0a87ae2ba916,1,1683806790,active,0,,,,
0.0,0.0,1,49,5,4,1,False,0,34,a3a45e3b-a135-11e9-9cda-0a87ae2ba916,1,1683806793,active,0,"{'off_dock_count': 42, 'region': 'CHI', 'valet_revision': 4085, 'off_dock_capacity': 0, 'active': True, 'station_id': 'a3a45e3b-a135-11e9-9cda-0a87ae2ba916', 'dock_blocked_count': 0}",[{'id': 'a3a45e3b-a135-11e9-9cda-0a87ae2ba916'}],,
0.0,0.0,1,425,3,0,1,False,0,12,a3ad8aa3-a135-11e9-9cda-0a87ae2ba916,1,1683806793,active,0,,,,
0.0,0.0,1,388,4,0,1,False,0,7,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,1,1683806800,active,0,,,,
0.0,0.0,1,710,3,0,1,False,0,8,c1f104db-9ee7-4999-bd4a-ddd766c75e04,1,1683806802,active,0,,,,
0.0,0.0,1,622,11,6,1,False,1,3,a3b3686c-a135-11e9-9cda-0a87ae2ba916,1,1683806798,active,0,,,,
0.0,0.0,1,522,9,5,1,False,0,2,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,1,1683806799,active,0,,,,
0.0,0.0,1,588,5,0,1,False,0,6,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,1,1683806807,active,0,,,,
0.0,0.0,1,569,9,0,1,False,0,2,a3b25656-a135-11e9-9cda-0a87ae2ba916,1,1683806807,active,0,,,,
1.0,0.0,1,39,9,1,1,False,0,13,a3a42a93-a135-11e9-9cda-0a87ae2ba916,1,1683806808,active,0,,,,
0.0,0.0,1,517,2,1,1,False,0,9,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,1,1683806806,active,0,,,,
0.0,0.0,1,52,6,2,1,False,0,29,a3a46e71-a135-11e9-9cda-0a87ae2ba916,1,1683806804,active,0,,,,
0.0,0.0,1,549,5,0,1,False,1,5,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,1,1683806803,active,0,,,,
1.0,0.0,1,126,12,0,1,False,1,1,a3a5c440-a135-11e9-9cda-0a87ae2ba916,1,1683806809,active,0,,,,
1.0,0.0,1,86,11,5,1,False,0,7,a3a4f993-a135-11e9-9cda-0a87ae2ba916,1,1683806810,active,0,,,,
0.0,0.0,1,18,5,1,1,False,1,7,a3a3bc53-a135-11e9-9cda-0a87ae2ba916,1,1683806811,active,0,,,,
0.0,0.0,1,582,6,0,1,False,0,5,a3b29a90-a135-11e9-9cda-0a87ae2ba916,1,1683806817,active,0,,,,
0.0,0.0,1,487,14,8,1,False,1,4,a3afc347-a135-11e9-9cda-0a87ae2ba916,1,1683806818,active,0,,,,
0.0,0.0,1,737,6,0,1,False,0,17,9e5ce0b6-198f-48fa-9363-64ab5ec2b222,1,1683806818,active,0,,,,
0.0,0.0,1,239,9,7,1,False,2,8,a3a866a5-a135-11e9-9cda-0a87ae2ba916,1,1683806821,active,0,,,,
,,1,368,0,0,1,False,0,15,a3ac83bc-a135-11e9-9cda-0a87ae2ba916,1,1683806821,active,0,,,,
0.0,1.0,1,403,4,0,1,False,0,10,a3ad1e12-a135-11e9-9cda-0a87ae2ba916,1,1683806821,active,0,,,,
1.0,1.0,1,29,9,1,1,False,0,4,a3a3f5e9-a135-11e9-9cda-0a87ae2ba916,1,1683806819,active,0,,,,
0.0,0.0,1,640,7,4,1,False,1,3,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,1,1683806819,active,0,,,,
0.0,0.0,1,557,4,0,1,False,0,7,a3b218cd-a135-11e9-9cda-0a87ae2ba916,1,1683806816,active,0,,,,
0.0,0.0,1,577,6,1,1,False,0,5,a3b2810e-a135-11e9-9cda-0a87ae2ba916,1,1683806821,active,0,,,,
0.0,0.0,1,558,8,1,1,False,1,2,a3b21de7-a135-11e9-9cda-0a87ae2ba916,1,1683806825,active,0,,,,
0.0,0.0,1,740,13,0,1,False,0,2,87d2a090-22cd-471b-b622-fef3923999dd,1,1683806823,active,0,,,,
0.0,0.0,1,152,11,4,1,False,0,4,a3a64639-a135-11e9-9cda-0a87ae2ba916,1,1683806823,active,0,,,,
0.0,0.0,1,144,17,6,1,False,1,2,a3a62025-a135-11e9-9cda-0a87ae2ba916,1,1683806822,active,0,,,,
0.0,0.0,1,652,4,0,1,False,0,7,a3b46866-a135-11e9-9cda-0a87ae2ba916,1,1683806827,active,0,,,,
0.0,0.0,1,1754781885939323186,9,0,1,False,0,2,1754781885939323186,1,1683806834,active,0,,,,
